dispatcher-1  | INFO museforge outbox_publication job=d0548af2-3cbb-4df1-a4da-d7546046c2ae message=9c061530-b555-4b34-8b7d-cab2c315c168 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=ec6a04f4-fd9c-458e-a97a-e4acfb8fe6c1 message=bff0340c-4cb2-428f-b573-f7d272f12dce confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=9504eeaf-e117-46dd-b2ab-314eecdd7034 message=920c7a14-cd46-44d8-aa35-58675ee2a594 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=6f4ff091-2708-4c4e-abc3-c9b47cc9bc38 message=794a35b2-9061-455c-ae70-e9d022851e35 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=048a4492-d676-4627-a115-396a9e68604e message=835921c8-a37f-46d1-953a-8bc70cdb4bca confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=35543219-64e9-44fc-8347-948d97f8867e message=8d15aef7-4d3a-4973-a6e6-9471df2f6783 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=cfe3d6d8-815a-4230-9fe4-031d7481238b message=27eb7836-2824-4c9b-af42-10ffbdacbd10 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=7fbc3e8f-0576-4736-b6e1-867c3ba04f4f message=b313a319-bb7c-4d8e-a2ad-26642a271d41 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=ee849533-d4e4-4f6a-9500-eb631aad60a9 message=7917d603-291d-40a0-9602-9bde0a3ad5e6 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=ee849533-d4e4-4f6a-9500-eb631aad60a9 message=1f636f90-f562-4b0e-921d-2d556e2505fd confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=ee849533-d4e4-4f6a-9500-eb631aad60a9 message=9010786c-d779-4a1b-93a8-0b382b70d077 confirmed=False
dispatcher-1  | WARNING museforge process_probe_failed role=dispatcher error_type=BrokerProbeTimeout
dispatcher-1  | INFO museforge outbox_publication job=ee849533-d4e4-4f6a-9500-eb631aad60a9 message=9010786c-d779-4a1b-93a8-0b382b70d077 confirmed=True
dispatcher-1  | INFO museforge outbox_publication job=2990be9c-7354-4ebc-b492-8559042e1f1b message=dac1fee8-3317-470a-8b16-c5f79d357c12 confirmed=True
